api_id,EFI vs Manual,EFI_Indicator_ID,CLIAR_ID,var_api,Indicator,variable,var_level,family_var,family_name,Status,Included in new version,Benchmarked CTF,new_family_name,reason for change,data_source,processing,description,To Invert,source,data_EFI_ID,version,FLAGGED,Check Source Result
,Manual,,WDI_IQCPAPUBSXQ,CPIA public sector management and Institutions cluster average (1=low to 6=high),CPIA public sector management and Institutions cluster average (1=low to 6=high),,indicator,,,,Yes,No,,,,,"The public sector management and Institutions cluster includes property rights and rule-based governance, quality of budgetary and financial management, efficiency of revenue mobilization, quality of public administration, and transparency, accountability, and corruption in the public sector.",,WDI,,,,
,Manual,,WDI_IQCPAFINQXQ,CPIA quality of budgetary and financial management rating (1=low to 6=high),CPIA quality of budgetary and financial management rating (1=low to 6=high),,indicator,,,,Yes,No,,,,,"Quality of budgetary and financial management assesses the extent to which there is a comprehensive and credible budget linked to policy priorities, effective financial management systems, and timely and accurate accounting and fiscal reporting, including timely and audited public accounts.",,WDI,,,,
,Manual,,WDI_IQCPAPADMXQ,CPIA quality of public administration rating (1=low to 6=high),CPIA quality of public administration rating (1=low to 6=high),,indicator,,,,Yes,No,,,,,Quality of public administration assesses the extent to which civilian central government staff is structured to design and implement government policy and deliver services effectively.,,WDI,,,,
,Manual,,WDI_IQCPAPROTXQ,CPIA social protection rating (1=low to 6=high),CPIA social protection rating (1=low to 6=high),,indicator,,,,Yes,No,,,,,"Social protection and labor assess government policies in social protection and labor market regulations that reduce the risk of becoming poor, assist those who are poor to better manage further risks, and ensure a minimal level of welfare to all people.",,WDI,,,,
,Manual,,WDI_IQCPASTRCXQ,CPIA structural policies cluster average (1=low to 6=high),CPIA structural policies cluster average (1=low to 6=high),,indicator,,,,Yes,No,,,,,"The structural policies cluster includes trade, financial sector, and business regulatory environment.",,WDI,,,,
,Manual,,WDI_IQCPATRADXQ,CPIA trade rating (1=low to 6=high),CPIA trade rating (1=low to 6=high),,indicator,,,,Yes,No,,,,,Trade assesses how the policy framework fosters trade in goods.,,WDI,,,,
,Manual,,WDI_IQCPATRANXQ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",,indicator,,,,Yes,No,,,,,"Transparency, accountability, and corruption in the public sector assess the extent to which the executive can be held accountable for its use of funds and for the results of its actions by the electorate and by the legislature and judiciary, and the extent to which public employees within the executive are required to account for administrative decisions, use of resources, and results obtained. The three main dimensions assessed here are the accountability of the executive to oversight Institutions and of public employees for their performance, access of civil society to information on public affairs, and state capture by narrow vested interests.",,WDI,,,,
,Manual,,fraser_efw_credit_market_regulations,Credit market regulations,Credit market regulations,efw_credit_mkt_reg,indicator,vars_fin,Financial market ,Maintained,Yes,Yes,Financial Institutions,,original,,"Regulations on Ownership of banks, Private sector credit, Interest rate controls/negative real interest rates.",,Fraser Institute,,GBID 1.0,,
27932,EFI,WJP.ROL.8.2,WJP_ROL_8_2,Criminal adjudication system is timely and effective,Criminal adjudication system is timely and effective,f8_criminaljustice,indicator,vars_leg,Justice ,Maintained,Yes,Yes,Justice Institutions,,API,,Criminal investigation system is effective; Criminal adjudication system is timely and effective; Correctional system is effective in reducing criminal behavior; Criminal justice system is impartial; Criminal justice system is free of corruption; Criminal justice system is free of improper government influence; Due process of the law & rights of the accused.,,"World Justice Project, Rule of Law",WJP.ROL,GBID 1.0,,
,EFI,WJP.ROL.8.1,WJP_ROL_8_1,Criminal investigation system is effective (WJP Rule of Law Index),Criminal investigation system is effective,,indicator,,Justice ,New addition,Yes,Yes,Justice Institutions,,,,"Measures whether perpetrators of crimes are effectively apprehended and charged. It also measures whether police, investigators, and prosecutors have adequate resources, are free of corruption, and perform their duties competently.",,"World Justice Project, Rule of Law",WJP.ROL,,,
,EFI,WJP.ROL.8.4,WJP_ROL_8_4,Criminal system is impartial (WJP Rule of Law Index),Criminal system is impartial,,indicator,,Justice ,New addition,Yes,Yes,Justice Institutions,,,,"Measures whether the police and criminal judges are impartial and whether they discriminate in practice based on socio-economic status, gender, ethnicity, religion, national origin, sexual orientation, or gender identity.",,"World Justice Project, Rule of Law",WJP.ROL,,,
,Manual,,VDEM_CORE_v2stcritrecadm,Criteria for appointment decisions in the state administration,Criteria for appointment decisions in the state administration,v2stcritrecadm,indicator,vars_publ,Public sector performance ,Maintained,Yes,Yes,Public Human Resource Management Institutions,,original,,"Question: To what extent are appointment decisions in the state administration based on personal and political connections, as opposed to skills and merit? Clarification: Appointment decisions include hiring, firing and promotion in the state administration. Note that the question refers to the typical de facto (rather than de jure) situation obtaining in the state administration, excluding the armed forces. If there are large differences between different branches of the state administration or between top and lower level state administrators please try to consider the average when answering the question. Responses: from 0: All appointment decisions in the state administration are based on personal or political connections, to 4: None of the appointment decisions in the state administration are based on personal or political connections. All are based on skills and merit. Scale: Ordinal. Cross-coder aggregation: Bayesian item response theory measurement model (see V-Dem Methodology).",,"V-Dem, Variety of Democracy database",VDEM.CORE,GBID 1.0,,
41857,Manual,,VDEM_CORE_v2cseeorgs,CSO entry and exit ,CSO entry and exit ,v2cseeorgs,indicator,vars_social,Social ,Maintained,Yes,Yes,Social Institutions,,API,,"Question: To what extent does the government achieve control over entry and exit by civil society organizations (CSOs) into public life? Responses: 0: Monopolistic control. The government exercises an explicit monopoly over CSOs. The only organizations allowed to engage in political activity, such as endorsing parties or politicians, sponsoring public issues forums, organizing rallies or demonstrations, engaging in strikes or publicly commenting on public officials and policies, are government-sponsored organizations. The government actively represses those who attempt to defy its monopoly on political activity. 1: Substantial control. The government licenses all CSOs and uses political criteria to bar organizations that are likely to oppose the government. There are at least some citizen-based organizations that play a limited role in politics independent of the government. The government actively represses those who attempt to flout its political criteria and bars them from any political activity. 2: Moderate control. Whether the government ban on independent CSOs is partial or full, some prohibited organizations manage to play an active political role. Despite its ban on organizations of this sort, the government does not or cannot repress them, due to either its weakness or political expediency. 3: Minimal control. Regardless of whether the government licenses CSOs, constitutional provisions exist that allow the government to ban organizations or movements that have a history of anti-democratic action. Such bans take place within the rule of law and conditions of judicial independence. 4: Unconstrained. Regardless of whether the government licenses CSOs, the government does not impede their formation and operation unless they are engaged in activities that seek to violently overthrow the government. ",,"V-Dem, Variety of Democracy database",VDEM.CORE,,,
,Manual,,VDEM_CORE_v2csreprss,CSO repression,CSO repression,v2csreprss,indicator,,Social ,New addition,Yes,Yes,Social Institutions,,,,"Does the government attempt to repress civil society organizations (CSOs)? Responses: 0: Severely. The government violently and actively pursues all real and even some imagined members of CSOs. They seek not only to deter the activity of such groups but to effectively liquidate them. 1: Substantially. In addition to the kinds of harassment outlined in responses 2 and 3 below, the government also arrests, tries, and imprisons leaders of and participants in oppositional CSOs who have acted lawfully. Other sanctions include disruption of public gatherings and violent sanctions of activists (beatings, threats to families, destruction of valuable property). 2: Moderately. In addition to material sanctions outlined in response 3 below, the government also engages in minor legal harassment (detentions, short-term incarceration) to dissuade CSOs from acting or expressing themselves. The government may also restrict the scope of their actions through measures that restrict association of civil society organizations with each other or political parties, bar civil society organizations from taking certain actions, or block international contacts. 3: Weakly. The government uses material sanctions (fines, firings, denial of social services) to deter oppositional CSOs from acting or expressing themselves. They may also use burdensome registration or incorporation procedures to slow the formation of new civil society organizations and sidetrack them from engagement. The government may also organize Government Organized Movements or NGOs (GONGOs) to crowd out independent organizations. 4: No. Civil society organizations are free to organize, associate, strike, express themselves, and to criticize the government without fear of government sanctions or harassment.",,"V-Dem, Variety of Democracy database",VDEM.CORE,,,
,Manual,,WDI_BNCABXOKAGDZS,Current account balance (% of GDP),Current account balance (% of GDP),,indicator,,,New addition,Yes,No,(other indicators),,,,"Current account balance is the sum of net exports of goods and services, net primary income, and net secondary income.",,WDI,,,,
,Manual,,WDI_SEXPDCPRMZS,"Current education expenditure, primary (% of total expenditure in primary public Institutions)","Current education expenditure, primary (% of total expenditure in primary public Institutions)",,indicator,,,New addition,Yes,No,Service Delivery Institutions,,,,"Current expenditure is expressed as a percentage of direct expenditure in public educational Institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Current expenditure is consumed within the current year and would have to be renewed if needed in the following year. It includes staff compensation and current expenditure other than for staff compensation (ex. on teaching materials, ancillary services and administration).",,WDI,,,,
,Manual,,WDI_SEXPDCSECZS,"Current education expenditure, secondary (% of total expenditure in secondary public Institutions)","Current education expenditure, secondary (% of total expenditure in secondary public Institutions)",,indicator,,,New addition,Yes,No,Service Delivery Institutions,,,,"Current expenditure is expressed as a percentage of direct expenditure in public educational Institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Current expenditure is consumed within the current year and would have to be renewed if needed in the following year. It includes staff compensation and current expenditure other than for staff compensation (ex. on teaching materials, ancillary services and administration).",,WDI,,,,
,Manual,,WDI_SEXPDCTERZS,"Current education expenditure, tertiary (% of total expenditure in tertiary public Institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public Institutions)",,indicator,,,New addition,Yes,No,Service Delivery Institutions,,,,"Current expenditure is expressed as a percentage of direct expenditure in public educational Institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Current expenditure is consumed within the current year and would have to be renewed if needed in the following year. It includes staff compensation and current expenditure other than for staff compensation (ex. on teaching materials, ancillary services and administration).",,WDI,,,,
,Manual,,WDI_SEXPDCTOTZS,"Current education expenditure, total (% of total expenditure in public Institutions)","Current education expenditure, total (% of total expenditure in public Institutions)",,indicator,,,New addition,Yes,No,Service Delivery Institutions,,,,"Current expenditure is expressed as a percentage of direct expenditure in public educational Institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Current expenditure is consumed within the current year and would have to be renewed if needed in the following year. It includes staff compensation and current expenditure other than for staff compensation (ex. on teaching materials, ancillary services and administration).",,WDI,,,,
,Manual,,WDI_SHXPDCHEXGDZS,Current health expenditure (% of GDP),Current health expenditure (% of GDP),,indicator,,,New addition,Yes,No,Service Delivery Institutions,,,,"Level of current health expenditure expressed as a percentage of GDP.  Estimates of current health expenditures include healthcare goods and services consumed during each year. This indicator does not include capital health expenditures such as buildings, machinery, IT and stocks of vaccines for emergency or outbreaks.",,WDI,,,,
41141,EFI,WB.PEFA.PI-2016-13,WB_PEFA_PI-2016-13,Debt management,Debt management,pefa_debtmanage,indicator,vars_publ,Public sector performance ,Maintained,Yes,Yes,Public Financial Management Institutions,,API,,"PI-13 Debt management. Based on Recording and reporting of debt and guarantees, Approval of debt and guarantees, and Debt management strategy",,Public Expenditure Financial Accountability,WB.PEFA,GBID 2.0,,
3319,Manual,,OECD_PMR_2018_1_3,Direct control over business enterprises,Direct control over business enterprises,directcontroloverbusinessenterpr,indicator,vars_service_del,SOE corporate governance,Maintained,Yes,Yes,SOE Corporate Governance,the last data is of 2018. Maintained but with big caveats** and can be removed,,,It measures the existence of special voting rights by the government in privately owned firms and constraints to the sale of government stakes in publicly controlled firms.,Yes,OECD Product Market Regulation Database,OECDWBG.PMR,,,
663,,WEF.GCIHH.EOSQ146,,Diversion of public funds,Diversion of public funds,diversion_pfunds,indicator,vars_transp,"Anticorruption, transparency and accountability ",Removed,No,N/A,(removed),WEF discountinued,API,,"In your country, how common is diversion of public funds to companies, individuals, or groups due to corruption? [1 = very commonly occurs; 7 = never occurs]",,World Economic Forum Global Competitiveness Index,,GBID 1.0,,
,Manual,,WDI_SHXPDGHEDGDZS,Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),,indicator,,,New addition,Yes,No,Service Delivery Institutions,,,,Public expenditure on health from domestic sources as a share of the economy as measured by GDP.,,WDI,,,,
,EFI,WJP.ROL.4.3,WJP_ROL_4_3,Due process of law and rights of the accused (WJP Rule of Law Index),Due process of law and rights of the accused,,indicator,,Justice ,New addition,Yes,Yes,Justice Institutions,,,,"Measures whether the basic rights of criminal suspects are respected, including the presumption of innocence and the freedom from arbitrary arrest and unreasonable pre-trial detention. It also measures whether criminal suspects are able to access and challenge evidence used against them, whether they are subject to abusive treatment, and whether they are provided with adequate legal assistance. In addition, it measures whether the basic rights of prisoners are respected once they have been convicted of a crime.",,"World Justice Project, Rule of Law",WJP.ROL,,,
40947,,WEF.GCIHH.EOSQ104,,"Effectiveness of anti-monopoly policy, 1-7 (best)","Effectiveness of anti-monopoly policy, 1-7 (best)",eff_antimonopoly,indicator,vars_mkt,Business environment and trade ,Removed,No,N/A,(removed),the data has been discontinued,API,,"In your country, how effective are anti-monopoly policies at ensuring fair competition?",,World Economic Forum Global Competitiveness Index,,GBID 1.0,,
40835,,WEF.GCIHH.EOSQ039,,"Efficiency of legal framework in challenging regs., 1-7 (best)","Efficiency of legal framework in challenging regs., 1-7 (best)",legaleff_challenging,indicator,vars_leg,Justice ,Removed,No,N/A,(removed),has been discontinued,API,,"In your country, how easy is it for private businesses to challenge government actions and/or regulations through the legal system? [1 = extremely difficult; 7 = extremely easy]",,World Economic Forum Global Competitiveness Index,,GBID 1.0,,
40837,,WEF.GCIHH.EOSQ040,,"Efficiency of legal framework in settling disputes, 1-7 (best)","Efficiency of legal framework in settling disputes, 1-7 (best)",legaleff_disputes,indicator,vars_leg,Justice ,Removed,No,N/A,(removed),has been discontinued,API,,"In your country, how efficient is the legal framework for private businesses in settling disputes? [1 = extremely inefficient; 7 = extremely efficient]",,World Economic Forum Global Competitiveness Index,,GBID 1.0,,
,EFI,WB.LPI.LP.LPI.CUST.XQ,WB_LPI_LP_LPI_CUST_XQ,Efficiency of the clearance process,Efficiency of the clearance process,lpi_clearance_eff,indicator,vars_mkt,Business environment and trade ,Maintained,Yes,Yes,Business Environment and Trade Institutions,,original,,"Efficiency of customs clearance processes (i.e. speed, simplicity and predictability of formalities) by border control agencies, including customs",,WB International LPI,WB.LPI,GBID 1.0,,
28748,EFI,BS.BTI.Q15.1 ,BS_BTI_Q15_1 ,Efficient use of assets,Efficient use of assets,bti_efficiency,indicator,vars_publ,Public sector performance ,Maintained,Yes,Yes,Public Human Resource Management Institutions,,API,,"To what extent does the government make efficient use of available human, financial and organizational resources?",,Bertelsmann Transformation Index,BS.BTI,GBID 1.0,,
,Manual,,oecd_epl_regular,"Employment protection, regular","Employment protection, regular",empl_protection_perm,indicator,vars_lab,Labor market ,Maintained,Yes,Yes,Labor market Institutions,,original,,"Composite indicator of Employment protection legislation governing regular contracts, individual dismissals.",,OECD,,GBID 1.0,,
,Manual,,oecd_epl_temporary,"Employment protection, temp.","Employment protection, temp.",empl_protection_temp,indicator,vars_lab,Labor market ,Maintained,Yes,Yes,Labor market Institutions,,original,,"Composite indicator of Employment protection legislation governing temporary contracts, individual dismissals.",,OECD,,GBID 1.0,,
,Manual,,RISE_EE_2,Energy efficiency entities,Energy efficiency entities,,indicator,,,New addition,Yes,Yes,Climate Change and Environment Institutions,,,,"This indicator is created by weighting indicators on whether there are governmental and/or independent bodies that carry setting EE strategy, standards regulating EE activity of energy consumers, certifying compliance with equipment EE standards, and selecting and/or approving third-party auditors tasked with certifying EE standards; Are energy efficiency programs developed based on market analyses with plans open to public consultation and periodic evaluation?; re there professional certification/accreditation programs mandated for energy efficiency activities?",,RISE,N/A,,,
,Manual,,RISE_EE_8,Energy labeling systems,Energy labeling systems,,indicator,,,New addition,Yes,Yes,Climate Change and Environment Institutions,,,,"This indicator is created by weight sub-indicators that measure: what appliances and technologies have energy efficiency labeling schemes been adopted, and if those systems are mandatory or voluntary.",,RISE,N/A,,,
41881,Manual,,VDEM_CORE_v2dlengage,Engaged society ,Engaged society ,v2dlengage,indicator,vars_social,Social ,Maintained,Yes,Yes,Social Institutions,,API,,"Wide and independent public deliberations when important policy changes are being considered. 0 represents countries where public deliberation is never, or almost never allowed; 5 represents countries where a large numbers of non-elite groups as well as ordinary people tend to discuss major policies among themselves, in the media, in associations or neighborhoods, or in the streets, and grass-roots deliberation is common and unconstrained.",,"V-Dem, Variety of Democracy database",VDEM.CORE,,,
28749,EFI,BS.BTI.Q12.1 ,BS_BTI_Q12_1 ,Environmental policy,Environmental policy,bti_environment,indicator,vars_publ,Public sector performance ,Maintained,Yes,Yes,Climate Change and Environment Institutions,,API,,To what extent are environmental concerns effectively taken into account?,,Bertelsmann Transformation Index,BS.BTI,GBID 2.0,,
41882,Manual,,VDEM_CORE_v2exbribe,Excutive bribery and corrupt exchnages,Executive bribery and corrupt exchanges,corruption_exec,indicator,vars_transp,"Anticorruption, transparency and accountability ",Maintained,Yes,Yes,Anticorruption Institutions,restructuring of institutional families,API,,"Question: How routinely do members of the executive (the head of state, the head of government, and cabinet ministers), or their agents, grant favors in exchange for bribes, kickbacks, or other material inducements? Responses: 0: It is routine and expected. 1: It happens more often than not in dealings with the executive. 2: It happens but is unpredictable: those dealing with the executive find it hard to predict when an inducement will be necessary. 3: It happens occasionally but is not expected. 4: It never, or hardly ever, happens.",,"V-Dem, Variety of Democracy database",VDEM.CORE,GBID 1.0,,
41883,EFI,IDEA.GSOD.v_15_05,IDEA_GSOD_v_15_05,Executive constraints ,Executive constraints ,exec_constraints,indicator,vars_pol,Political ,Removed,No,N/A,Political institutions,Discountinued from original source (Polity IV),,,"The extent of institutionalized constraints on the decision-making powers of chief executives, whether individuals or collectivities.",,Global State of Democracy,IDEA.GSOD,GBID 1.0,,IDEA.GSOD.v_15_05
,EFI,WB.PEFA.PI-2016-22,WB_PEFA_PI-2016-22,PEFA: PI-22 Expenditure arrears,Expenditure arrears,,indicator,,,New addition,Yes,Yes,Public Financial Management Institutions,,,,"The extent to which there is a stock of arrears, and whether any systemic problem in this regard is being addressed and brought under control.",,Public Expenditure Financial Accountability,WB.PEFA,,,
,Manual,,WDI_GCXPNTOTLGDZS,Expense (% of GDP),Expense (% of GDP),,indicator,,,New addition,Yes,No,(other indicators),,,,"Expense is cash payments for operating activities of the government in providing goods and services. It includes compensation of employees (such as wages and salaries), interest and subsidies, grants, social benefits, and other expenses such as rent and dividends.",,WDI,,,,
3307,Manual,,OECD_PMR_2018_6,Explicit barriers to trade and investment,Explicit barriers to trade and investment,barriers_trade_expl,indicator,vars_mkt,Business environment and trade ,Maintained,Yes,Yes,Business Environment and Trade Institutions,the last data is of 2018. Maintained but with big caveats** and can be removed,,,"Simple average of two components: (i) Restrictiveness of a countrys FDI rules in 22 sectors in terms of foreign equity limitations, screening or approval mechanisms, restrictions on the employment of foreigners as key personnel and operational restrictions (e.g. restrictions on branching and on capital repatriation or on land ownership), (ii) Simple cross-product average of effectively applied tariffs.",Yes,OECD Product Market Regulation Database,OECDWBG.PMR,GBID 1.0,,
,Manual,,WDI_NEEXPGNFSZS,Exports of goods and services (% of GDP),Exports of goods and services (% of GDP),,indicator,,,New addition,Yes,No,(other indicators),,,,"Exports of goods and services represent the value of all goods and other market services provided to the rest of the world. They include the value of merchandise, freight, insurance, transport, travel, royalties, license fees, and other services, such as communication, construction, financial, information, business, personal, and government services. They exclude compensation of employees and investment income (formerly called factor services) and transfer payments.",,WDI,,,,
,EFI,WJP.ROL.6.6,WJP_ROL_6_6,The government does not expropriate without lawful process and adequate compensation (WJP Rule of Law Index),Expropriation without lawful process and adequate compensation,,indicator,,Justice ,New addition,Yes,Yes,Justice Institutions,,,,"Measures whether the government respects the property rights of people and corporations, refrains from the illegal seizure of private property, and provides adequate compensation when property is legally expropriated.",,"World Justice Project, Rule of Law",WJP.ROL,,,
41216,EFI,WB.PEFA.PI-2016-30,WB_PEFA_PI-2016-30,External audit,External audit,pefa_audit,indicator,vars_transp,"Anticorruption, transparency and accountability ",Maintained,Yes,Yes,Transparency and Accountability Institutions,restructuring of institutional families,API,,"External audit. Based on Audit coverage and standards, Submission of audit reports to the legislature, External audit follow-up, Supreme Audit Institution, independence",,Public Expenditure Financial Accountability,WB.PEFA,GBID 1.0,,
,Manual,,WDI_DTDODDECTGNZS,External debt stocks (% of GNI),External debt stocks (% of GNI),,indicator,,,New addition,Yes,No,(other indicators),,,,"Total external debt stocks to gross national income. Total external debt is debt owed to nonresidents repayable in currency, goods, or services. Total external debt is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, use of IMF credit, and short-term debt. Short-term debt includes all debt having an original maturity of one year or less and interest in arrears on long-term debt. GNI (formerly GNP) is the sum of value added by all resident producers plus any product taxes (less subsidies) not included in the valuation of output plus net receipts of primary income (compensation of employees and property income) from abroad.",,WDI,,,,
,EFI,IDEA.GSOD.v_21_05,IDEA_GSOD_v_21_05,Global State of Democracy: Index - Fair trial (highest score=1),Fair trial,,indicator,,Justice ,New addition,Yes,Yes,Justice Institutions,,,,"Definition: The indicator specifies the extent to which citizens have the right to a fair trial in practice: they are not subjected to arbitrary arrest, detention or exile; and they have the right to recognition as a person before the law; the right to be under the jurisdiction of and seek redress from competent, independent and impartial tribunals; and the right to be heard and to be tried without undue delay if arrested, detained or charged with a criminal offence. Indicator Scale: 1. Severely restricted: Fair trials are very unlikely. The courts are totally subordinated to the will of government or the justice system is profoundly undermined by arbitrary arrests, incompetence, corruption and intimidation. 2. Substantially restricted: Some elements of fair trials exist but the courts are not fully independent of the government and/or the justice system is characterized by widespread corruption, intimidation and inefficiency. 3. Moderately restricted: The courts are generally independent of the government, but the justice system is characterized by moderate degrees of corruption or inefficiency. 4. Unrestricted: All elements of fair trails are respected. No arbitrary arrests take place, the courts are competent, independent and impartial; and hearings and trials generally follow arrest and charge within a reasonable time. Scaled to range from 0 (lowest score) to 1 (highest score). Hosted by GSOD. Original source: The Civil Liberty Dataset (Skaaning, 2020).",,Global State of Democracy,IDEA.GSOD,,,IDEA.GSOD.v_21_05
40951,,,,"Favoritism in decisions of government officials, 1-7 (best)","Favoritism in decisions of government officials, 1-7 (best)",favoritism,indicator,vars_transp,"Anticorruption, transparency and accountability ",Removed,No,N/A,(removed),WEF discountinued,API,,"In your country, to what extent do government officials show favoritism to well-connected firms and individuals when deciding upon policies and contracts? [1 = show favoritism to a great extent; 7 = do not show favoritism at all]",,World Economic Forum Global Competitiveness Index,,GBID 1.0,,
,Manual,,WDI_NECONTOTLZS,Final consumption expenditure (% of GDP),Final consumption expenditure (% of GDP),,indicator,,,New addition,Yes,No,(other indicators),,,,Final consumption expenditure (formerly total consumption) is the sum of household final consumption expenditure (private consumption) and general government final consumption expenditure (general government consumption). This estimate includes any statistical discrepancy in the use of resources relative to the supply of resources.,,WDI,,,,
,EFI,WB.PEFA.PI-2016-27,WB_PEFA_PI-2016-27,PEFA: PI-27 Financial data integrity,Financial data integrity,,indicator,,,New addition,Yes,Yes,Public Financial Management Institutions,,,,The standards and procedures applied in internal audit,,Public Expenditure Financial Accountability,WB.PEFA,,,
New indicator,Manual,,HERITAGE_FinancialFreedom,Financial freedom,Financial freedom,NA,indicator,NA,NA,New addition,Yes,Yes,Financial Institutions,to replace the ones from the institutional profiles.,NA,NA,"Financial freedom is both an indicator of banking e""ciency and a measure of independence from government control and interference in the financial sector. State ownership of banks and other financial Institutions such as insurers and capital markets reduces competition and generally lowers the level of access to credit.",,Heritage Index of Economic Freedom,,GBID 1.0,,
,Manual,,RISE_EE_6,Financing mechanisms for energy efficiency,Financing mechanisms for energy efficiency,,indicator,,,New addition,Yes,Yes,Climate Change and Environment Institutions,,,,"This indicator is created by weighing sub-indicators that measure: Are there ""national financial coverage"" mechanisms in place for energy efficiency activities in certain sectors?; What is the share of financial and/or non-financial Institutions which offer credit lines for energy efficiency investments in sectors?",,RISE,N/A,,Not 100% clear if it's driven by the public sector or includes also private sector initiatives on its own,
227,EFI,WB.ENTERPRISESURVEYS.IC.FRM.OBS.OBST1,WB_ENTERPRISESURVEYS_IC_FRM_OBS_OBST1,Finance / Percent of firms identifying access to finance as a major constraint,Firms identifying access to finance as a major constraint,es_finance_constraint,indicator,vars_fin,Financial market ,Maintained,Yes,Yes,Financial Institutions,,API,,"Percentage of firms identifying access/cost of finance as a ""major"" or ""very severe"" obstacle.",,Enterprise Surveys,WB.ENTERPRISESURVEYS,GBID 1.0,,
308,EFI,WB.ENTERPRISESURVEYS.IC.FRM.REG.BUS5,WB_ENTERPRISESURVEYS_IC_FRM_REG_BUS5,Percent of firms identifying business licensing and permits as a major constraint,Firms identifying business licensing and permits as a major constraint,,indicator,vars_mkt,Business environment and trade ,New addition,Yes,Yes,Business Environment and Trade Institutions,,,,"Percentage of firms identifying business licensing and permits as ""major"" or ""very severe"" obstacle.",,Enterprise Surveys,WB.ENTERPRISESURVEYS,GBID 1.0,,
289,EFI,WB.ENTERPRISESURVEYS.IC.FRM.CORR.CORR11,WB_ENTERPRISESURVEYS_IC_FRM_CORR_CORR11,Corruption / Percent of firms identifying corruption as a major constraint,Firms identifying corruption as a major constraint,es_corruption_constraint,indicator,vars_transp,"Anticorruption, transparency and accountability ",Maintained,Yes,Yes,Anticorruption Institutions,restructuring of institutional families,API,Invert,"Percentage of firms identifying corruption as a ""major"" or ""very severe"" obstacle.",Yes,Enterprise Surveys,WB.ENTERPRISESURVEYS,GBID 1.0,,
320,EFI,WB.ENTERPRISESURVEYS.IC.FRM.TRD.TR9,WB_ENTERPRISESURVEYS_IC_FRM_TRD_TR9,Percent of firms identifying customs and trade regulations as a major constraint,Firms identifying customs and trade regulations as a major constraint,se_customs_constraint,indicator,vars_mkt,Business environment and trade ,Maintained,Yes,Yes,Business Environment and Trade Institutions,,API,,"Percentage of firms identifying customs and trade regulations as a ""major"" or ""very severe"" obstacle.",,Enterprise Surveys,WB.ENTERPRISESURVEYS,GBID 1.0,,
268,EFI,WB.ENTERPRISESURVEYS.IC.FRM.WRKF.WK9,WB_ENTERPRISESURVEYS_IC_FRM_WRKF_WK9,Workforce / Percent of firms identifying labor regulations as a major constraint,Firms identifying labor regulations as a major constraint,es_labor_constraint,indicator,vars_lab,Labor market ,Maintained,Yes,Yes,Labor market Institutions,,API,,"Percentage of firms identifying labor regulations as a ""major"" or ""very severe"" obstacle.",,Enterprise Surveys,WB.ENTERPRISESURVEYS,GBID 1.0,,
307,EFI,WB.ENTERPRISESURVEYS.IC.FRM.REG.REG5,WB_ENTERPRISESURVEYS_IC_FRM_REG_REG5,Regulations and Taxes / Percent of firms identifying tax administration as a major constraint,Firms identifying tax administration as a major constraint,es_tax_constraint,indicator,vars_publ,Public sector performance ,Maintained,Yes,Yes,Public Financial Management Institutions,,API,,"Percentage of firms identifying tax administration as a ""major"" or ""very severe"" obstacle.",,Enterprise Surveys,WB.ENTERPRISESURVEYS,GBID 2.0,,
290,EFI,WB.ENTERPRISESURVEYS.IC.FRM.CORR.CRIME9,WB_ENTERPRISESURVEYS_IC_FRM_CORR_CRIME9,Corruption / Percent of firms identifying the courts system as a major constraint,Firms identifying the courts system as a major constraint,es_court_constraint,indicator,vars_leg,Justice ,Maintained,Yes,Yes,Justice Institutions,,API,,Percent of firms identifying the courts system as a major constraint,,Enterprise Surveys,WB.ENTERPRISESURVEYS,GBID 1.0,,
,EFI,WB.PEFA.PI-2016-10,WB_PEFA_PI-2016-10,PEFA: PI-10 Fiscal risk reporting,Fiscal risk reporting,,indicator,,,New addition,Yes,Yes,Public Financial Management Institutions,,,,The extent to which fiscal risks to central government are reported.,,Public Expenditure Financial Accountability,WB.PEFA,,,
,EFI,BS.BTI.Q8.2 ,BS_BTI_Q8_2 ,Bertelsmann Transformation Index: Fiscal stability,Fiscal stability,,indicator,,,New addition,Yes,Yes,Public Financial Management Institutions,,,,To what extent do the government’s budgetary policies support fiscal stability?,,Bertelsmann Transformation Index,BS.BTI,,,
